text,intent
How do I create a donation?,food_donation
How do I create a donation,food_donation
How to create a food donation?,food_donation
How to create a food donation,food_donation
How can I create a donation?,food_donation
How can I create a donation,food_donation
What food are accepted?,food_donation
What food are accepted,food_donation
Which foods can I donate?,food_donation
Which foods can I donate,food_donation
Can I donate cooked food?,food_donation
Can I donate cooked food,food_donation
Can I donate fruits?,food_donation
Can I donate fruits,food_donation
Can I donate vegetables?,food_donation
Can I donate vegetables,food_donation
Can I donate packaged food?,food_donation
Can I donate packaged food,food_donation
What food is not accepted?,food_donation
What food is not accepted,food_donation
Can I donate expired food?,food_donation
Can I donate expired food,food_donation
Can I donate homemade food?,food_donation
Can I donate homemade food,food_donation
Is hot food accepted?,food_donation
Is hot food accepted,food_donation
Is frozen food accepted?,food_donation
Is frozen food accepted,food_donation
What are the food donation guidelines?,food_donation
What are the food donation guidelines,food_donation
What foods are safe to donate?,food_donation
What foods are safe to donate,food_donation
Can I donate bakery items?,food_donation
Can I donate bakery items,food_donation
Can I donate milk products?,food_donation
Can I donate milk products,food_donation
Can I donate rice?,food_donation
Can I donate rice,food_donation
Can I donate curry?,food_donation
Can I donate curry,food_donation
Can I donate leftover food?,food_donation
Can I donate leftover food,food_donation
Can I donate unopened packaged food?,food_donation
Can I donate unopened packaged food,food_donation
What types of food does FoodReach accept?,food_donation
What types of food does FoodReach accept,food_donation
How do I donate food?,food_donation
How do I donate food,food_donation
I want to donate meals,food_donation
Donate food,food_donation
Share food,food_donation
How can I donate?,food_donation
How can I donate,food_donation
Donate groceries,food_donation
Food donation process,food_donation
Where do I donate food?,food_donation
Where do I donate food,food_donation
I want to share excess food,food_donation
How to list leftover food for donation?,food_donation
How to list leftover food for donation,food_donation
Can donors give surplus catering food?,food_donation
Can donors give surplus catering food,food_donation
I have excess food from a wedding to donate,food_donation
Step by step guide to donate food on FoodReach,food_donation
How to post a new food donation item?,food_donation
How to post a new food donation item,food_donation
Can restaurants donate leftover meals?,food_donation
Can restaurants donate leftover meals,food_donation
How do I give away extra food?,food_donation
How do I give away extra food,food_donation
Is there a way to donate fresh fruits and vegetables?,food_donation
Is there a way to donate fresh fruits and vegetables,food_donation
How much food can I donate at once?,food_donation
How much food can I donate at once,food_donation
Who receives the food I donate?,food_donation
Who receives the food I donate,food_donation
How do I schedule a food donation?,food_donation
How do I schedule a food donation,food_donation
What types of food can be donated?,food_donation
What types of food can be donated,food_donation
How long does a food donation stay listed?,food_donation
How long does a food donation stay listed,food_donation
Can individuals donate food or only businesses?,food_donation
Can individuals donate food or only businesses,food_donation
I have 50 plates of food to donate,food_donation
How do I select the quantity for food donation?,food_donation
How do I select the quantity for food donation,food_donation
Can I specify the preparation time when donating?,food_donation
Can I specify the preparation time when donating,food_donation
Is there a minimum amount of food required to donate?,food_donation
Is there a minimum amount of food required to donate,food_donation
